RA_deg,Dec_deg,ROI_deg,Separation_deg,Region
93.89699606981658,-7.000000000000014,0.05,0.8942680179841401,R50
94.7030039301837,-7.000000000000014,0.05,0.894268017984265,R50
93.895451409804,-8.600000000000009,0.05,0.8946102238860908,R50
94.70454859019631,-8.600000000000009,0.05,0.894610223886229,R50
95.10826349938316,-8.20000000000001,0.05,0.8947811192577221,R50
93.49173650061653,-8.20000000000001,0.05,0.8947811192579986,R50
95.20840470524924,-7.800000000000011,0.05,0.8999998263737625,R50
93.39159529475042,-7.800000000000011,0.05,0.8999998263741007,R50
94.3000000000001,-6.900000000000015,0.05,0.8999999999999858,R50
94.29999999999993,-8.700000000000008,0.05,0.9000000000000098,R50
93.39181104154041,-7.700000000000012,0.05,0.9054323426947511,R50
95.20818895845967,-7.700000000000012,0.05,0.905432342694835,R50
94.19927045031412,-6.900000000000015,0.05,0.905527563773243,R50
94.40072954968608,-6.900000000000015,0.05,0.9055275637732646,R50
94.40116400448643,-8.700000000000008,0.05,0.9055513315253251,R50
94.19883599551342,-8.700000000000008,0.05,0.9055513315253406,R50
95.2086233230497,-7.900000000000011,0.05,0.9056461948153363,R50
93.39137667694993,-7.900000000000011,0.05,0.9056461948157,R50
95.00556357956624,-7.2000000000000135,0.05,0.9215930517852,R50
93.59443642043333,-7.2000000000000135,0.05,0.9215930517855212,R50
94.90463638939042,-7.100000000000014,0.05,0.9216475485547305,R50
93.69536361060938,-7.100000000000014,0.05,0.9216475485548589,R50
95.20797607932116,-7.600000000000012,0.05,0.9217478753877967,R50
93.39202392067853,-7.600000000000012,0.05,0.9217478753880992,R50
94.09854090062814,-6.900000000000015,0.05,0.9219114244370433,R50
94.50145909937206,-6.900000000000015,0.05,0.9219114244370861,R50
94.50232800897294,-8.700000000000008,0.05,0.9220048023007175,R50
94.09767199102691,-8.700000000000008,0.05,0.9220048023007481,R50
95.20884481526653,-8.00000000000001,0.05,0.9221679667856604,R50
93.39115518473312,-8.00000000000001,0.05,0.92216796678599,R50
94.9066636767182,-8.500000000000009,0.05,0.9223011115825067,R50
93.6933363232814,-8.500000000000009,0.05,0.9223011115827626,R50
93.59240920151547,-8.40000000000001,0.05,0.9223555086056994,R50
95.0075907984847,-8.40000000000001,0.05,0.9223555086058274,R50
95.10653743548637,-7.300000000000013,0.05,0.9430101322513379,R50
93.49346256451322,-7.300000000000013,0.05,0.943010132251672,R50
93.79624508727069,-7.000000000000014,0.05,0.9431623019823265,R50
94.80375491272959,-7.000000000000014,0.05,0.9431623019824757,R50
93.79431426225496,-8.600000000000009,0.05,0.9436692391421753,R50
94.80568573774535,-8.600000000000009,0.05,0.943669239142339,R50
93.49153193495573,-8.30000000000001,0.05,0.9438211251818738,R50
95.10846806504429,-8.30000000000001,0.05,0.9438211251818978,R50
93.39223393547792,-7.500000000000012,0.05,0.9483849111578275,R50
95.20776606452225,-7.500000000000012,0.05,0.9483849111579878,R50
93.99781135094216,-6.900000000000015,0.05,0.9485892239258717,R50
94.60218864905804,-6.900000000000015,0.05,0.9485892239259341,R50
94.60349201345944,-8.700000000000008,0.05,0.948793403425757,R50
93.99650798654041,-8.700000000000008,0.05,0.9487934034258015,R50
95.20906918535216,-8.10000000000001,0.05,0.9489973011109502,R50
93.39093081464746,-8.10000000000001,0.05,0.9489973011112971,R50
93.3924410892042,-7.400000000000013,0.05,0.9845060210747103,R50
95.2075589107958,-7.400000000000013,0.05,0.9845060210747103,R50
93.89708180125618,-6.900000000000015,0.05,0.9847246772323506,R50
94.70291819874402,-6.900000000000015,0.05,0.9847246772324307,R50
94.70465601794595,-8.700000000000008,0.05,0.9850743177879662,R50
93.8953439820539,-8.700000000000008,0.05,0.9850743177880232,R50
95.20929643680607,-8.20000000000001,0.05,0.9852925401079361,R50
93.39070356319361,-8.20000000000001,0.05,0.9852925401082194,R50
95.0054091209555,-7.100000000000014,0.05,0.989560438213725,R50
93.59459087904429,-7.100000000000014,0.05,0.9895604382138637,R50
95.0077742895046,-8.500000000000009,0.05,0.9903889034462464,R50
93.592225710495,-8.500000000000009,0.05,0.9903889034465257,R50
95.10635837664717,-7.2000000000000135,0.05,0.9995647842111801,R50
93.4936416233524,-7.2000000000000135,0.05,0.9995647842115186,R50
93.6954941047248,-7.000000000000014,0.05,0.9996796323058992,R50
94.90450589527548,-7.000000000000014,0.05,0.9996796323060674,R50
95.30933856138806,-7.800000000000011,0.05,0.9999997618282785,R50
93.2906614386116,-7.800000000000011,0.05,0.9999997618286163,R50
94.30000000000017,-6.800000000000015,0.05,0.9999999999999853,R50
94.29999999999988,-8.800000000000008,0.05,1.0000000000000084,R50
93.69317711470592,-8.600000000000009,0.05,1.0003682973864236,R50
94.90682288529439,-8.600000000000009,0.05,1.000368297386609,R50
93.49132480173195,-8.40000000000001,0.05,1.000482917741686,R50
95.10867519826822,-8.40000000000001,0.05,1.0004829177418206,R50
93.29090115726711,-7.700000000000012,0.05,1.0048694128470141,R50
95.30909884273296,-7.700000000000012,0.05,1.004869412847098,R50
94.19929156734706,-6.800000000000015,0.05,1.0049767025932013,R50
94.40070843265327,-6.800000000000015,0.05,1.004976702593235,R50
94.40119118401913,-8.800000000000008,0.05,1.0050004993322113,R50
94.19880881598064,-8.800000000000008,0.05,1.0050004993322337,R50
